"REF_DATE","GEO","DGUID","Industry","Business dynamics measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","306288","","","","0"
"2019-02","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","306803","","","","0"
"2019-03","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","307360","","","","0"
"2019-04","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","307241","","","","0"
"2019-05","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","307427","","","","0"
"2019-06","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","308021","","","","0"
"2019-07","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","308387","","","","0"
"2019-08","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","309164","","","","0"
"2019-09","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","309066","","","","0"
"2019-10","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","309616","","","","0"
"2019-11","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","309594","","","","0"
"2019-12","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","310253","","","","0"
"2020-01","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","310382","","","","0"
"2020-02","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","308985","","","","0"
"2020-03","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","298268","","","","0"
"2020-04","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","271776","","","","0"
"2020-05","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","260910","","","","0"
"2020-06","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","261634","","","","0"
"2020-07","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","270300","","","","0"
"2020-08","Ontario ","2016A000235","Business sector industries [T004]","Active businesses","Number","223","units","0","v1203705296","16.1.1","275402","E","","","0"
"2019-01","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15461","","","","0"
"2019-02","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","16298","","","","0"
"2019-03","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","16924","","","","0"
"2019-04","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","16121","","","","0"
"2019-05","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15420","","","","0"
"2019-06","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15396","","","","0"
"2019-07","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15346","","","","0"
"2019-08","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15145","","","","0"
"2019-09","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15386","","","","0"
"2019-10","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15257","","","","0"
"2019-11","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","14292","","","","0"
"2019-12","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15451","","","","0"
"2020-01","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","15057","","","","0"
"2020-02","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","14114","","","","0"
"2020-03","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","12961","","","","0"
"2020-04","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","13480","","","","0"
"2020-05","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","14591","","","","0"
"2020-06","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","21257","","","","0"
"2020-07","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","22824","","","","0"
"2020-08","Ontario ","2016A000235","Business sector industries [T004]","Opening businesses","Number","223","units","0","v1203705297","16.1.2","17485","","","","0"
"2019-01","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","290361","","","","0"
"2019-02","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","290626","","","","0"
"2019-03","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","291360","","","","0"
"2019-04","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","291755","","","","0"
"2019-05","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","291146","","","","0"
"2019-06","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","292238","","","","0"
"2019-07","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","292353","","","","0"
"2019-08","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","294109","","","","0"
"2019-09","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","293940","","","","0"
"2019-10","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","294138","","","","0"
"2019-11","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","296021","","","","0"
"2019-12","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","294431","","","","0"
"2020-01","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","295035","","","","0"
"2020-02","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","294951","","","","0"
"2020-03","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","286512","E","","","0"
"2020-04","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","259142","E","","","0"
"2020-05","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","245067","","","","0"
"2020-06","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","240206","","","","0"
"2020-07","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","246547","","","","0"
"2020-08","Ontario ","2016A000235","Business sector industries [T004]","Continuing businesses","Number","223","units","0","v1203705298","16.1.3","258048","E","","","0"
"2019-01","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15707","","","","0"
"2019-02","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15514","","","","0"
"2019-03","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15397","","","","0"
"2019-04","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15435","","","","0"
"2019-05","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15412","","","","0"
"2019-06","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15595","","","","0"
"2019-07","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","14748","","","","0"
"2019-08","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15417","","","","0"
"2019-09","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15127","","","","0"
"2019-10","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","14786","","","","0"
"2019-11","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","14548","","","","0"
"2019-12","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15048","","","","0"
"2020-01","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15165","","","","0"
"2020-02","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","15319","","","","0"
"2020-03","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","22342","E","","","0"
"2020-04","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","38880","E","","","0"
"2020-05","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","26019","E","","","0"
"2020-06","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","20952","E","","","0"
"2020-07","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","14157","","","","0"
"2020-08","Ontario ","2016A000235","Business sector industries [T004]","Closing businesses","Number","223","units","0","v1203705299","16.1.4","13501","","","","0"
"2019-01","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","613","","","","0"
"2019-02","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","603","","","","0"
"2019-03","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","602","","","","0"
"2019-04","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","610","","","","0"
"2019-05","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","603","","","","0"
"2019-06","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","603","","","","0"
"2019-07","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","601","","","","0"
"2019-08","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","597","","","","0"
"2019-09","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","594","","","","0"
"2019-10","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","595","","","","0"
"2019-11","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","587","","","","0"
"2019-12","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","594","","","","0"
"2020-01","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","593","","","","0"
"2020-02","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","592","","","","0"
"2020-03","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","567","","","","0"
"2020-04","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","543","","","","0"
"2020-05","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","545","","","","0"
"2020-06","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","545","","","","0"
"2020-07","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","527","","","","0"
"2020-08","Ontario ","2016A000235","Forestry, fishing and hunting [11]","Active businesses","Number","223","units","0","v1203705300","16.2.1","534","","","","0"
